予算事業ID,府省庁,局・庁,事業の概要,当初予算,歳出予算現額,現状・課題,事業名,事業概要URL
2365,厚生労働省,健康・生活衛生局,輸入食品の安全性確保については、食品安全基本法第6条において国の責務として定められるとともに、第10条において法制上、財政上必要な措置を講じることとされている。／これに従い、厚生労働省においては、食品衛生法第23条の規定に基づき、毎年度「輸入食品監視指導計画」をパブリックコメント実施の上策定し、必要な検査項目、検査件数等を定め検疫所における検査を実施している。,1878623000.0,2652949000.0,"本事業は、日本人の食事の約6割（カロリーベース）を占める、輸入食品の安全性を水際で確保するものであり、広く国民のニーズがあり、国費を投入して実施すべき必要な事業である。また、輸入食品の安全を確保するためには、全国均一に実施する必要があり、国が実施するべき事業である。調達案件について、幅広に一般競争入札を実施するとともに、少額随意契約による場合であっても複数者から見積を徴取し、最低価格の者と契約を締結する等、競争性を確保している。令和５年度の輸入届出件数は速報値で約235万件、モニタリング検査は計画数100,109件に対し、速報値で延べ101,096件を実施した。令和６年度においては、モニタリング検査は100,224件計画している。届出数が年々増加している中、輸入食品の安全性を確保するため、必要な検査数を確実に実施しなければならない。",輸入食品の検査に必要な事業,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/shokuhin/yunyu_kanshi/index.html
2800,厚生労働省,年金局,国庫負担金等を財源として、特別障害給付金の給付を行う。,2407483000.0,2407483000.0,特別障害給付金受給者に対し、特別障害給付金の給付を着実に行っている。今後とも、給付費の支払いに支障をきたさぬように、支払実績等を踏まえ必要な予算額を確保するとともに、適正な執行を行うなどの取組を進める必要がある。,特別障害給付金給付に必要な経費,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/hukushi_kaigo/shougaishahukushi/kyuhukin/index.html
2956,厚生労働省,大臣官房,各研究事業毎に評価委員会を設置し、研究開発課題の採択に関する事前評価、研究の進捗を評価する中間評価、研究が適切に行われたか等を評価する事後評価を実施する等、厚生労働科学研究費補助金等の各研究事業が適切かつ効果的に実施されるための事業を実施している。,48097000.0,47997000.0,厚生労働科学研究費補助金による研究事業等の公的に行われる研究について、適切に評価し、戦略性のある効率的な費用配分と適正な研究事業運営を確保して必要な研究を推進するため、「厚生労働省の研究助成等の在り方に関する省内検討会」において、評価の適切性や政策への連動性、効率・適正な運営等の確保の観点等から検討が行われ、「研究助成の改善等に向けた基本的な方向性について」（平成22年7月29日厚生労働省省内検討会報告書）（以下、「検討会報告書」という。）が取りまとめられている。大綱的指針及び検討会報告書を踏まえて、厚生労働省の科学研究開発（試験、調査等を含む。）に関する研究開発プログラム、研究開発課題、研究開発機関及び研究者の業績の評価について、個人情報保護の観点に配慮しつつ、外部評価の実施、国際的な視点からの評価の実施、評価結果の公開、研究費等の研究開発資源の配分への適切な反映等を行うことにより、研究開発評価の一層、適切かつ効果的な実施を図ることが必要であり、各研究事業毎に評価委員会を設置し、研究開発課題の採択に関する事前評価、研究の進捗を評価する中間評価、研究が適切に行われたか等を評価する事後評価を実施する等、厚生労働科学研究費補助金等の各研究事業が適切かつ効果的に実施されるための事業を実施しており、引き続き各事業毎に研究開発課題の評価を行う必要がある。,研究評価推進事業費,
3330,水産庁,,水産機構が中長期目標に基づき作成した中長期計画及び年度計画に掲げる、①水産業の持続可能な発展のための水産資源に関する研究開発、②水産業の持続可能な発展のための生産技術に関する研究開発、③漁業、養殖業のための新たな生産技術定着のための開発調査、④水産業界を担う人材の育成等を実施するために必要な資金の交付及び効率的かつ効果的な研究を推進する上で必要な施設の整備・改修並びに漁業調査船の代船建造に要する経費を補助。（定額補助）,17061694000.0,22549426000.0,我が国においては、漁船の高船齢化、漁業者の減少・高齢化の進行など水産物の生産体制が脆弱化するとともに、水産資源の減少等により生産量が減少傾向にある。／このような状況の中で、水産資源の適切な管理と水産業の成長産業化を両立させ、漁業者の所得向上と年齢バランスのとれた漁業就業構造を確立することを目指し、新たな漁業法における水産資源調査・評価の高度化、輸出拡大にも寄与する漁業・養殖業の発展のための研究開発、気候変動、不漁問題への対応、漁業就業者の減少を見据えた生産性の向上、人材育成などの課題に対して優れた研究開発成果等を生み出し、水産資源の適切な管理、水産業の成長産業化等の施策実現や「みどりの食料システム戦略」を推進する必要がある。,国立研究開発法人水産研究・教育機構に要する経費,
3443,林野庁,,本事業は、「森林･林業基本計画」に即した重点施策の内容や当庁の取組状況などについて情報誌「林野」に掲載し、計画の推進状況等を広く国民に周知するものである。／・職員等が執筆した原稿を基に、情報誌を編集し、版下を製作する。／・製作した版下をPDFファイルにし、林野庁のウェブサイトに掲載するとともに、SNS等で広報する。／・製作した版下を印刷し、多数の来場者が想定され、閲覧による2次利用が期待できる図書館等のほか、地方公共団体、報道関係者、教育関係者、国有林モニター等へ発送、配布する。／注：図書館利用者や国有林モニターには、パソコンを持たず、電子媒体では情報を入手する手段がない高齢者なども多いため、印刷物の配布は不可欠である。,12236000.0,12236000.0,国土の約7割を占める森林は、国土の保全、水源の涵養、地球温暖化の防止、生物多様性の保全、景観・文化の形成など重要な役割を担っているが、森林・林業に関する施策は、一般に人口の少ない山間地域で実施されており、国民にとって馴染みが薄く、また専門的で分かりにくいと考えられている。このため、施策対象の森林・林業・木材産業関係者はもとより、木材の消費者ともなる一般国民に対し、いかに林野庁の施策情報を分かりやすい表現で、広報し、理解を得るかが課題となっている。／　広報活動としては、報道機関に対するプレスリリース、ホームページによる情報提供のほか、紙媒体の情報紙「林野」の発行・配布を行うほか、それらの情報をFacebook、X（旧Twitter）などのSNSで積極的に発信していく必要がある。,林野庁情報誌「林野」に必要な経費,
3584,経済産業省,商務情報政策局商務・サービスG,国際博覧会条約第32条の規定（分担金の割当て）に基づき、BIE総会で決定された分担金を拠出する。,8583000.0,8583000.0,国際博覧会条約第32条の規定（分担金の割当て）に基づき、BIE総会で決定された分担金を拠出する。,博覧会国際事務局（BIE）分担金,https://www.meti.go.jp/main/yosan/yosan_fy2023/pr/ip/shosa_09.pdf
3806,経済産業省,資源エネルギー庁,水素社会実現に向けて、水素利用・生産の鍵となる燃料電池技術及び水電解技術等の更なる普及拡大を促進する。実施内容としては、下記の3項目である。／(1)共通課題解決型基盤技術開発／(2)水素利用等高度化先端技術開発／(3)燃料電池等の多用途活用実現技術開発／本事業については、令和6年度が最終年度であり、最終的な成果を出すことに注力することに加え、著しい成果・進捗が得られている技術開発案件に関して、実用化に向けた加速的な取り組みのために研究開発費の増額を行い、当該技術開発が加速的に発展させられるよう支援を拡大する。,7750000000.0,7750000000.0,燃料電池（FC）は水素の化学エネルギーを直接電気エネルギーへ変換する発電装置であって、運輸分野や電力・熱供給分野の脱炭素化に資する技術として普及に向けた取組が世界的に進められている。一方、水電解装置は燃料電池の逆反応であり、水素社会の最上流を担う水素製造技術として、世界的にも需要が急速に高まっている。我が国でも、2030年・2040年以降の目標をロードマップとして示すなど、用途の拡大と社会全体への普及を目指し、開発の方向性を示したところである。欧米が燃料電池技術の開発について猛追する中、我が国として競争力を持ち続けるためにも、燃料電池及び水電解装置の革新的な技術開発をオールジャパンとして取り組んでいく必要がある。,水素社会実現に向けた革新的燃料電池技術等の活用のための研究開発事業,https://www.meti.go.jp/main/yosangaisan/fy2024/pr/en/shoshin_taka_03.pdf
3821,経済産業省,資源エネルギー庁,発電用原子炉等をめぐる諸外国の原子力政策の変化や国内外の産業界の動向等、今後の原子力政策の的確な立案に資する調査を行う。,155000000.0,155000000.0,原子力については、エネルギー基本計画において「安全性の確保を大前提に、長期的なエネルギー需給構造の安定性に寄与する重要なベースロード電源である」と位置付けられている。東京電力福島第一原子力発電所事故後の、米国、英国等の諸外国の原子力政策や、革新技術開発状況等、国内外の原子力関連事業者の構成等がめまぐるしく変化している現状や今後の方針を把握し、今後我が国が採るべき政策の企画立案を行う必要がある。,原子力の利用状況等に関する調査委託費,https://www.meti.go.jp/main/yosan/yosan_fy2023/pr/en/denga_riyou_02.pdf
3865,経済産業省,イノベーション・環境局ＧＸグループ,CO2排出削減に資する我が国の優れた脱炭素技術・製品等の海外における導入及び実証を行うとともに、CO2削減効果の定量化手法の開発及び測定・報告・検証（MRV）等を実施し、実現した排出削減のJCMクレジット化を行う。,700000000.0,700000000.0,2021年に改定された地球温暖化対策計画では、2013年度比46％削減の目標達成に向けて、「二国間クレジット制度（JCM）」を活用して、「途上国等への優れた脱炭素技術、製品、システム、サービス、インフラ等の普及や対策実施を通じ、実現した温室効果ガス排出削減・吸収への我が国の貢献を定量的に評価するとともに、我が国のNDCの達成に活用するため、JCMを構築・実施していく。これにより、官民連携で2030年度までの累積で、１億t-CO2程度の国際的な排出削減・吸収量の確保を目標とする」としている。／目標達成に向け、JCMプロジェクトを着実に進める必要があり、本事業を通じて技術的課題の克服等に取り組むことが必要。／今後のプロジェクト数の拡大に向けては、従来の取組を基礎に置きながら、国の予算にも限りがあることから、政府資金に頼らない民間独自のプロジェクト実施を本格化させる必要がある。,二国間クレジット制度（JCM）等推進事業のうち民間主導によるJCM等を通じた低炭素技術国際展開事業,https://www.meti.go.jp/main/yosangaisan/fy2024/pr/en/sangi_taka_27.pdf
3920,特許庁,,登録調査機関において、出願後直ちに分類と多観点タームの同時付与（一元付与）を行い、先行技術文献調査に必要なデータの作成を行う。,4940621000.0,4940621000.0,我が国の産業の競争力を維持・向上し、国際社会で確たる地位を占め続けるため、世界最速・最高品質の審査を実現し、その審査結果を国内外へ早期発信する必要がある。そのため、令和６年度における、特許の「権利化までの審査期間」（標準審査期間）と「一次審査通知までの期間」をそれぞれ、平均15月以内、平均10.5月以内とした上で当該迅速性を令和6年度以降も堅持しつつ、特許審査の質の維持・向上を図り、「強く・広く・役に立つ特許権」を付与するための特許審査体制の整備・強化を行う必要がある。,分類・Ｆターム一元付与実施費（事務費）,https://www.meti.go.jp/main/yosan/yosan_fy2024/pr/pdf/pr_tokkyo.pdf#page=18
4006,国土交通省,住宅局,マンション管理適正化・再生推進に当たっての課題解決に向けた以下①～⑤の取組を行う民間事業者等を支援する。／①マンションの新たな維持管理の適正化・再生推進に係る事業／②地方公共団体等によるマンションの管理適正化・再生推進に係る事業／③マンション管理・再生の専門家による相談体制等の整備に係る事業／④マンションの管理適正化・再生推進に関する制度や取組の普及・周知に係る事業／⑤マンション管理適正化・再生推進に当たっての課題解決に向けた成功事例の収集・分析等を行う事業,161608000.0,161608000.0,我が国における分譲マンションのストック数は、2022年末時点で約694万戸（建築着工統計等をもとに国土交通省推計）に達し、試算によれば１割を超える国民がマンションに居住していると推計され、都市部を中心に主要な居住形態となっている。一方で、築40年以上を経過したマンションは2022年末時点で約125万戸存在し、10年後には約2.1倍の約260万戸、20年後には約3.5倍の約445万戸と急増していくことが見込まれている。また、築40年以上のマンションでは、世帯主の55％が70歳以上となっており、居住者の高齢化も進んでいる（令和５年度マンション総合調査）。／このように、建物と居住者両方の高齢化が進んでおり、管理の適正化や再生の円滑化に向けた取組みの強化が喫緊の課題となっているなか、マンションの管理に関する問い合わせや相談への対応等を行うために専任の担当者を配属している地方公共団体は限定的であり、行政におけるマンション政策を進める体制は十分ではない状況である。,マンション管理適正化・再生推進事業,https://www.mlit.go.jp/jutakukentiku/house/jutakukentiku_house_fr5_000024.html
4364,国土交通省,大臣官房,地方公共団体発注工事の受注者は、地域を地盤とする中小建設業が多数を占めており、地方公共団体職員がICT施工に関する知見を習得し、職員自ら中小建設業へのICT施工の普及活動を行えるように、ICT施工技術者の育成を構築。,26926000.0,46926000.0,ICT施工については、ICT対象工事のうち約8割が実施されているが、中小建設業におけるICT施工の経験企業の割合も受注企業全体の約半分にとどまっており、更なるICT施工の普及にあたっては、地方公共団体とりわけ中小建設業への促進が必要不可欠である。,ICT施工技術支援者育成等経費,
4457,国土交通省,国土政策局,むつ小川原開発地域では、これまで、ＩＴＥＲ（国際熱核融合実験炉）関連施設である国際核融合エネルギー研究センターを始め、国家石油備蓄基地、核燃料サイクル施設等の立地が進んでいる。／我が国の産業・研究開発の発展とともに、地域の主体的取組への支援を図るため、引き続き、同地域の有効活用方策に関する調査検討が不可欠である。／このため、令和５年度においては、むつ小川原開発地区内の未利用地を活用した地域の活性化を図る観点から、令和４年度調査におけるカーボンニュートラル関連産業の立地可能性や課題を踏まえ、当該地区におけるカーボンニュートラル分野のスタートアップ企業の具体的な立地集積に向けた対応策について、調査検討を行った。,3126000.0,3126000.0,調査で得られた成果を関係省庁で構成するむつ小川原総合開発会議（実務者級）で説明・共有するとともに、総合的な施策を展開、調整、点検等を行う会議体であるむつ小川原開発推進協議会（六者協）においても、成果の共有、協議・調整等を行っている。,むつ小川原開発推進調査,https://www.mlit.go.jp/kokudoseisaku/kokudoseisaku_tk9_000011.html
4497,国土交通省,大臣官房,公共工事における新技術の導入促進のため、3次元モデルの普及・拡大、新技術の現場実証（新技術導入促進（Ⅱ）型にて発注する工事、NETIS（※）テーマ設定型における実証、マッチングによる新技術の現場試行等）、現場実証・試行を行った技術の効果の検証・評価、インフラDXネットワーク整備等を行う。／／（※）NETIS（New Technology Information System）：新技術の活用のため、新技術に関わる情報の共有及び提供を目的としたシステム。,1075189000.0,5214027000.0,民間企業により公共工事の品質確保、安全性向上に資する新たな技術の開発が行われるが、インフラ分野では、受発注者が新しい技術を活用するインセンティブが生まれにくいことから、新技術の導入促進を図る必要がある。,新技術導入促進に関する経費,https://www.netis.mlit.go.jp/netis/pubtheme/themesettings
4755,環境省,地球環境局,省CO2性能の高いGaNやCNFを活用した製品の社会実装・普及展開の加速を図る。／委託事業で実機搭載における更なる安全性・信頼性・省エネ効果・品質の向上等に向けた技術開発・実証を実施するとともに、補助事業で商用規模生産のためのプロセス設計や設備投資等を支援し、これらの部材・素材の早期の社会実装による大幅なエネルギー消費量の削減を実現する。,3800000000.0,3800000000.0,GaNやCNFは従来の部材・素材を用いた製品に比べて大幅な省CO2を達成することが可能な部材・素材として、普及展開を進める必要がある。環境省はこれまでGaNやCNFの技術開発・実証を実施し、これらの部材・素材を活用した多種多様な電気機器、自動車部品や建材・住宅部材におけるCO2削減効果を実証してきた。一方で、実用化及び社会実装・普及展開に必要な性能やコストを実現できておらず、GaNについてはEV用インバーター等、CNFについてはプラスチックコンテナ等の製品に搭載した際の性能評価や性能向上、コスト面での課題を解決する必要がある。／＊環境省「令和３年度GaN 技術による脱炭素社会・ライフスタイル先導イノベーション事業（高品質GaN 基板を用いた超高効率GaN パワー・光デバイスの技術開発とその実証）成果報告書」／＊環境省「令和２年度セルロースナノファイバー適用部材拡大のための課題解決支援事業委託業務成果報告書」,革新的な省CO2実現のための部材や素材の社会実装・普及展開加速化事業,https://www.env.go.jp/content/000156396.pdf
4777,環境省,地球環境局,APNでは公募型共同研究の推進やワークショップ等の開催によるキャパシティ・ビルディング事業の推進を行う。支援するプロジェクトは、国際公募した上で厳密な審査を経て運営委員会にて承認し、その成果は運営委員会に報告される。また、ネットワークの開発を通し、参加国間の連携を強化するとともに、ウェブやニュースレター、国際会議での成果の公表等を通じた情報発信等を行う。,208960000.0,208960000.0,APNの第5次戦略計画（2020-2026）において5つの目標を掲げている。①アジア太平洋地域に関連する地球変動と持続可能性の研究について地域的・国際的な協力の支援、②地球規模の変化と持続可能性に関する研究に参加し科学に基づいた意思決定を支援する能力の強化、③科学者・政策立案者・実務者・他の社会グループのメンバー間の相互作用を強化し、政策立案プロセスのために健全な科学情報を提供する、④共通の関心を有する類似の組織や他のステークホルダーグループとのコミュニケーションと協働の強化の継続、⑤効率、耐久性及び公平性を追求し、APNとその活動をサポートできるような制度的・運営的・財政的基盤の強化。また、これらの目標を達成するため、社会の多様なステークホルダーに届くようなコミュニケーションやアウトリーチに努めている。これらの活動の成果を評価するための監視・評価のための仕組みを策定中である。,地球環境に関するアジア太平洋地域共同研究・観測事業拠出金,https://ja.apn-gcr.org/主な活動/助成事業/
5231,防衛省,防衛装備庁,Ｐ－３Ｃの老朽化及び除籍減耗に伴う後継として、探知識別能力、飛行性能及び通信能力等の向上が図られたＰ－１を整備する事業である。,87309795000.0,152807638000.0,防衛力整備計画（令和４年１２月１６日国家安全保障会議決定・閣議決定）において、「装備品等の取得及び能力向上等を加速し、領域横断作戦の基本となる陸・海・空の領域の能力を強化する」と計画しているが、Ｐ－３Ｃは耐用命数が近づいており、除籍に伴い配備機数が減少している。今後のＰ－３Ｃの配備機数の減少に対し、所要の哨戒体制を維持させるため、先進的な技術を積極的に活用し、能力向上したＰ－１を整備する必要がある。,固定翼哨戒機（Ｐ－１）の取得,
5362,防衛省,,自衛隊の教育訓練機関において、個々の自衛官の能力の向上、最適な教育訓練を実施するために必要な教材・資器材の購入及び部外教育委託等に係る経費並びに自衛隊の部隊において最適な練成訓練を実施するために必要な物品の購入及び訓練実施に際し必要な役務等に係る経費である。,140786822000.0,142812019000.0,部隊等において自衛官が任務を遂行するためには、教育訓練により専門的な知識や技能を修得させるとともに、各種訓練において、その練度を高める必要がある。また、優秀な人材を正面部隊により多く配置する必要があることから、教育の質を維持しつつ、効率化し期間を短縮する必要がある。,部隊等における教育・訓練に要する経費,
5395,防衛省,,ハイレベル、実務者レベル、部隊レベル、留学生レベルといった様々なレベルにおける交流を実施し、／・ハイレベルでは、防衛大臣と各国との国防大臣の対話、副大臣、大臣政務官、事務次官、防衛審議官、統・陸・海・空幕長クラスの対話、相互訪問等を実施。／・実務者レベルでは、局長、審議官クラスの実務者同士による協議や統幕、陸・海・空自衛隊と関係諸国の統合参謀本部、陸・海・空軍の幕僚との間の対話等、防衛当局の実務者間での対話・交流を実施。／・部隊間レベルでは、陸・海・空自衛隊が、それぞれのカウンターパートとの意見交換や交流を実施。／・留学生レベルでは、外国人の教育訓練を受託している。,870262000.0,842689000.0,わが国を含む国際社会は、今、ロシアによるウクライナ侵略が示すように、深刻な挑戦を受け、新たな危機に突入している。中国は東シナ海、南シナ海において、力による一方的な現状変更やその試みを押し進め、北朝鮮はかつてない高い頻度で弾道ミサイルを発射し、核の更なる小型化を追求するなど行動をエスカレートさせ、ロシアもウクライナ侵略を行うとともに、極東地域での軍事活動を活発化させている。今や、どの国も一国では自国の安全を守ることはできず、戦後の国際秩序への挑戦が続く中、わが国は普遍的価値と戦略的利益等を共有する同志国等と協力・連携を深めていくことが不可欠である。,外国との交流・対話等,
5433,防衛省,防衛装備庁,我が国を取り巻く安全保障環境において、潜水艦の脅威に備えるための能力向上は喫緊の課題であり、昭和５８年度、平成８年度及び平成１９年度計画において海洋観測艦（ＡＧＳ）を建造し、３艦態勢をもって広範な周辺海域の水温構造、海底地形等の対潜戦に必要な海洋環境データの収集を行っている。／一方、昭和５８年度に建造した海洋観測艦は、令和７年度末に除籍予定であり、除籍時期に併せた海洋観測艦の更新が必要である。,4074469000.0,10420469000.0,海洋環境データの収集態勢を維持するため、海洋観測艦を建造している。,海洋観測艦（ＡGＳ）,
6503,こども家庭庁,成育局,こども関連業務従事者の性犯罪歴等確認の仕組み（日本版DBS）を効率的に構築していくために、各種ガイドライン、マニュアル、研修教材等の作成を行う。,81080000.0,352080000.0,こども性暴力防止法を円滑かつ着実に施行するためには、令和７年冬までに、施行に必要なガイドライン、マニュアル、研修教材等を作成し、対象事業者へ周知を行う必要がある。,こども性暴力防止法施行準備,https://www.cfa.go.jp/laws/houan/e81845c0
6528,こども家庭庁,支援局,母子及び父子並びに寡婦福祉法の規定により、国が都道府県・指定都市・中核市が行う資金の貸付けに必要な原資を貸し付け、都道府県・指定都市・中核市が、母子家庭及び父子家庭並びに寡婦に対し、生活に必要な資金やその子の修学に必要な資金等について貸付けを行うものである。／・貸付先：都道府県・指定都市・中核市／・貸付率：2／3,1419259000.0,1419259000.0,●ひとり親家庭等の現状／＜参考＞令和３年度ひとり親世帯等調査／○ひとり親家庭の世帯数　　　　　　　　　母子家庭　 119.5万世帯　父子家庭　14.9万世帯／○ひとり親家庭の就業状況　 　　　　　　母子家庭就業率 86.3%　　父子家庭就業率 88.1%／○ひとり親家庭の平均年間就労収入　 母子家庭 236万円　　　 　父子家庭 496万円／／●課題／１３もの貸付資金のメニューがあるが、件数・金額ともに約９割が児童の修学資金関係となっており、偏りが見られる。,母子父子寡婦福祉貸付金,
6600,総務省,行政管理局,本事業では、競争性に課題のある事業や民間が担うことができる事業を官民競争入札・民間競争入札（いわゆる市場化テスト）の対象とするため、「公共サービス改革基本方針」策定に関する事務を行うほか、公共サービス改革法を着実かつ適正に運用するため、市場化テストの対象事業を実施する各省庁や地方公共団体に対する支援を含め、実務上生じる様々な課題についての調査・検討を行い、指針等を作成するなど、公共サービス改革の推進に向けた取組を行う。,10925000.0,10925000.0,昨今の厳しさを増す財政事情の中で、国民に対して、より良質かつ低廉な公共サービスの提供を目的とした公共サービス改革を推進することは、国及び地方公共団体を通じた我が国全体にとって喫緊かつ重要な課題の一つである。そのため、国又は地方公共団体が行っている公共サービスについて、競争を導入することにより、当該公共サービスの実施主体の切磋琢磨、創意工夫を促すとともに、事務又は事業の内容及び性質に応じた必要な措置を講ずる必要がある。,競争の導入による公共サービス改革推進事業,https://www.soumu.go.jp/main_sosiki/gyoukan/kanri/koukyo_service_kaikaku/index.html
7032,農林水産省,農産局,産地・実需協働プランに参画する生産者が、実需者ニーズに対応するための低コスト生産等に取り組む場合に、取組面積に応じて支援する。,0.0,34000000000.0,主食用米の全国ベースの需要量は一貫して減少傾向にあり、最近は人口減少等を背景に年10万トン程度に減少幅が拡大している。／このような状況の中、麦、大豆等の需要のある作物への作付転換を進めているところ、国内外の新たな需要に対応するためには、産地と実需者の結びつきを強化するとともに、これら両者の強い連携に基づく、実需者ニーズに応じた麦・大豆、野菜等の畑作物の生産を推進していくことが重要である。／このため、実需者ニーズに応じるための低コスト生産や付加価値向上の取組を支援し、麦・大豆、高収益作物、子実用とうもろこしをはじめとした畑作物の導入・定着により、水田農業を需要拡大が期待される畑作物を生産する農業へと転換する必要がある。,畑作物産地形成促進事業,https://www.maff.go.jp/j/syouan/keikaku/soukatu/r6_hata_kome.html
7151,経済産業省,経済産業政策局,企業等が、大学・高等専門学校等の高等教育機関において、自社が必要とする専門性を有する人材の育成を図るための共同講座を設置することを目的として費用を支出する際、当該費用の一部を補助する。また、リスキリングと処遇の連動を推進するため、共同講座によるリスキリングの成果を処遇に反映する場合、補助率を引き上げる。,0.0,349999000.0,デジタル技術や脱炭素化による急激な産業構造の変化の中で、多くの企業は、技術革新により必要となるスキルと現在の従業員のスキルとの間のギャップを認識している。一方で、日本企業の従業員への人材育成は、OJT（オン・ザ・ジョブ・トレーニング）に偏っており、OJT以外の人材投資の国際比較では、欧米の諸外国に比べて低い水準であり、かつ、年を経ることに減少している。こうした状況から脱し、産業界や企業のニーズを踏まえた高度な専門性を有する人材を育成していく観点から、企業と高等教育機関が連携することで、必要な人材を育成する仕組みを整備する必要がある。／また、日本型の雇用慣行の中で、多くの働き手が、リスキリングを通じて新たなスキルを習得する動機付けを欠いており、共同講座への従業員の能動的な参加を促していくため、従業員のリスキリングの成果等を評価し、処遇に反映する取組を推進する必要がある。,高等教育機関における共同講座創造支援事業,https://www.meti.go.jp/policy/innovation_corp/koutou_kyouiku_kikan_niokeru_kyoudoukouzasousyutu.html
7382,厚生労働省,老健局,認知症のVR疑似体験、認知症を正しく理解するための展示、認知症希望大使の活動や共生社会を推進する動画、認知症研究の最新情報の紹介や近年の施策の動向が分かる動画、認知症サポーター講座やチームオレンジの活動状況がわかる動画 など様々な取組みを検討する。／なお、認知症を正しく理解するための展示として、日本と諸外国の認知症（施策）の歴史をひもとくため、各時代で認知症の人を診察していた医師、地域の保健師、認知症の人の家族等の関係者への取材等を通じて、その証言や関係者が所有している写真等を収集するなどを検討している。,23471000.0,67830000.0,現在、認知症はだれもがなりうるものであり、家族や身近な人が認知症になることなどを含め、多くの人にとって身近なものとなっている。また、認知症の発症を遅らせ、認知症になっても希望を持って日常生活を過ごせる社会を目指し、認知症の人や家族の視点を重視しながら、「共生」と「予防」を車の両輪として施策を推進している。,大阪・関西万博における認知症に関する情報発信事業,
7440,国土交通省,大臣官房,ICT施工StageⅡとして、工事全体の「見える化」による建設現場の即時的な工程改善、作業と監督検査の効率化等を図り、それぞれの現場での試行を通じて各種データの仕様策定、既存の監督検査に係る基準改定等を実施する。,30000000.0,30000000.0,建設現場での効率化を行うため、測量・設計/施工計画・施工・検査、それぞれの工程においてICT（情報通信技術）を活用する「ICT施工」に取り組んできているが、少子高齢化等の社会的課題が表面化してきており、更なるステップアップが必要である。,施工データの高度利用による建設現場の最適化検討,
7525,防衛省,防衛装備庁,当該事業では、令和3年度から令和5年度にかけて「EMP弾用電源技術の研究」で弾頭部に適用可能で連続照射可能な電気エネルギー方式の電源部要素、「爆薬発電技術の研究」で高出力化が見込まれる火薬エネルギー方式の電源部要素、「高出力放射技術の研究」で高出力のEMPを放射可能な放射部要素に関する技術資料を得て、令和5年度に「敷設型EMP装備の研究」で前述の要素研究の成果を組み合わせたEMP発生部により技術資料を得る。また、将来EMP装備適用技術について、令和6年度から令和10年度にかけて研究試作を実施し、令和7年度～令和10年度まで所内試験を実施する。,271561000.0,271561000.0,EMP弾に適用可能な技術分野については、米国を中心に研究開発が進むも、技術的優勢確保の観点から各国とも極めて限定した情報しか出しておらず、また市場からの直接入手も困難な状況にある。また、国内においては車両や家電製品等に対する電磁的影響を検査するための設備としての運用例はあるもののロケット弾等に搭載可能な小型・高出力化を追求したものではなく、EMP弾等の限られた容積に格納するためには小型化・高出力化について、研究を行う必要がある。,ＥＭＰ装備に関する研究,
7773,農林水産省,農産局,計画的に省エネルギー化等に取り組む産地を対象に、農業者と国が資金を設け、燃油・ガスの価格が一定の基準を超えた場合に補填金を交付するセーフティネット対策を講じる。　／　（基金に関する事項）／　基金設置年度：平成24年度／　運用形態：取崩型／　事業形態：補塡,0.0,2880000000.0,近年、冬期の加温等に使用される燃料価格は、為替や国際的な商品市況によって大きく変動しており、経営費に占める燃料費の割合が高い施設園芸及び茶農家の経営に影響を及ぼしている。施設園芸においては、燃料高騰の影響を受けにくい経営への転換に加え、みどりの食料システム戦略の推進に向け、「化石燃料のみに依存しない施設への経営転換」が重要であるが、現状は10％程度と足踏みをしている状態。,施設園芸等燃料価格高騰対策,https://www.maff.go.jp/j/seisan/ryutu/engei/nenyu/nenyu_taisaku1.html
19649,林野庁,,花粉の飛散量の予測に資するため、スギ雄花の花芽調査等を進めるとともに、林野庁が実施する花粉症対策の普及啓発等を実施。,39237000.0,39237000.0,"花粉症対策については、これまで進めてきた対策により、花粉の少ないスギ苗木の生産量は 10 年前の約 140 万本から 10 倍の約 1,500 万本へと飛躍的に伸び、全スギ苗木の生産本数のうち約５割を占めるまでに増加している。しかしながら、花粉の少ないスギ苗木の更なる生産拡大を進めるとともに、伐採･植替えを推進するためには、森林所有者への理解の醸成等が必要。",花粉の少ない森林への転換促進対策,https://www.rinya.maff.go.jp/j/rinsei/yosankesan/attach/pdf/R6_kettei_hikou-24.pdf
19879,厚生労働省,医薬局,電子処方箋の利活用・普及を促進するため、導入済の施設等から得られた課題等の情報を整理し、実情を踏まえた医療機関・薬局に対する普及方策や国民に向けた効果的周知広報を実施する。,0.0,792809000.0,電子処方箋は、令和5年1月に全国で運用を開始したが、医療機関・薬局において利活用・普及が十分に進んでいない状況にある。課題として、医療機関・薬局、患者等が電子処方箋の仕組みやメリット等を十分に認識していないことが挙げられるため、医療機関・薬局、患者等に応じた効果的な周知広報を実施する必要がある。,電子処方箋の普及拡大事業,https://www.mhlw.go.jp/stf/denshishohousen.html
